date,reaction_count,top_react,comment_count,full_content,emojis,hashtags
2024-08-25 19:00:00,2429,"Thích, Yêu thích và Thương thương",118,"🔥 CHECK - IN CHIẾC MÁY SPECIAL ĐỘC LẠ TẠI TP.HCM & HÀ NỘI
SĂN VÉ GẶP GỠ “ANH TÀI"" BINZ LIỀN TAY! 🔥 Bia Saigon Special vừa ra mắt BST lon bia phiên bản giới hạn kèm theo những thông điệp dành riêng cho bạn trong từng khoảnh khắc ăn mừng. Truy tìm ngay chiếc máy lấy bia độc đáo và trải nghiệm hoạt động “Lấy một lon, nếu bạn có…” để cùng nhau ăn mừng lần thứ mấy, vẫn thấy Special 🍻 Không chỉ được “rinh ngay"" lon bia phiên bản giới hạn, bạn còn có cơ hội nhận được những phần quà độc đáo và đặc biệt là cơ hội sở hữu chiếc vé xịn xò tham gia sự kiện Off-fan cùng Binz. Chỉ với 03 bước đơn giản: 👉 Bước 1: Check-in tại chiếc máy Special gần nhất (xem thông tin bên dưới bình luận)
👉 Bước 2: Tham gia theo hướng dẫn của nhân viên tại địa điểm
👉 Bước 3: Rinh quà độc quyền từ Bia Saigon Special dành cho riêng bạn cùng cơ hội nhận vé gặp gỡ Binz Cơ hội vượt chông gai để gặp ""anh tài"" Binz đang chờ bạn! Nhanh tay lên, số lượng vé có hạn! #BiaSaigonSpecial #ViSpecialChoDipSpecial
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🔥🔥🍻👉👉👉,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial']"
2024-08-21 17:26:00,4961,"Thích, Yêu thích và Haha",9,"🐉 TRIỆU CHẤT RỒNG KHÁC BIỆT - TẠO NÊN CHẤT VIỆT NAM ✨ Chất Việt Nam là gì? Câu trả lời nằm trong loạt phim về khí chất độc đáo của mỗi tỉnh thành. Chất Việt Nam được tạo nên từ Chất Rồng riêng biệt khắp cả nước. Mỗi tập phim, một cảm xúc, với góc nhìn khác lạ từ các nhà làm phim trẻ. Đây là một dự án dành tặng hàng triệu nỗ lực khắp Việt Nam, do Bia Saigon sáng tạo cùng các Chất Rồng địa phương. Chất rồng của địa phương của bạn là gì? Bình luận ngay bên dưới cùng Bia Saigon và đón xem loạt phim Trăm Phần Trăm Chất Rồng tại FPT ngay tại https://fptplay.vn/xem-video/tram-phan-tram-chat-rong-66bb2bc072d14f54bb4df2df?fbclid=IwY2xjawEzlG5leHRuA2FlbQIxMQABHYqSswpb4X6bGUcnuiATo0ZmVH8OBgq1WlX4mT5PqSLjlLL1Bkx6xq2yKQ_aem_ZhOZWkQOvqJR9zBrHdlbKg #BiaSaigon #TramPhanTramChatRong
*Thưởng thức có trách nhiệm",🐉✨,"['#BiaSaigon', '#TramPhanTramChatRong']"
2024-08-21 13:41:00,993,Thích và Yêu thích,917,"[MINIGAME “TRĂM PHẦN TRĂM TỰ HÀO""] KHÁNH HÒA, PHÚ YÊN, NINH THUẬN, BÌNH THUẬN CÙNG LÊN MÓN CHUẨN KHÉP LẠI SÂN CHƠI! Lên sóng minigame cuối cùng trong chuỗi minigame đóng góp đặc sản 13 tỉnh thành miền Trung, mời anh em cùng khép lại cuộc chơi với những đặc sản chuẩn bài để thưởng thức cùng vị bia tươi mát, sảng khoái từ Bia Saigon Lager! Cùng Bia Saigon Lager, anh em mình chia sẻ tên các đặc sản không thể bỏ qua từ [Khánh Hòa, Phú Yên, Ninh Thuận, Bình Thuận] và đừng quên để lại lý do gợi ý bên dưới phần bình luận kèm theo số may mắn nhé. Vô vàn giải thưởng xịn sò đợi anh em tham gia!
✨ 6 Giải Trăm Phần Trăm Tự Hào cho 6 comment được tương tác nhiều nhất, mỗi giải gồm:
- 01 Thùng đá Bia Saigon
- 01 voucher mua Bộ Lon Đặc Biệt Trăm Phần Trăm
- 01 cơ hội thưởng thức món ăn tại bàn tiệc “Trăm Phần Trăm Tự Hào""
✨ 10 Giải May Mắn cho 10 người may mắn, mỗi giải gồm: 200k tiền mặt Đặc biệt, sau khi kết thúc chuỗi minigame, 6 người may mắn cuối cùng sẽ có cơ hội sở hữu Giải Vàng chung cuộc (mỗi giải trị giá 1 chỉ vàng) Minigame thứ 3 sẽ kết thúc vào ngày [28/08/2024], tham gia ngay để rinh quà thôi anh em ơi! #BiaSaigon #TramPhanTramTuHao
*Nồng độ cồn 4.3%
*Dưới 18 tuổi không được uống rượu, bia
*Thưởng thức có trách nhiệm",✨✨,"['#BiaSaigon', '#TramPhanTramTuHao']"
2024-08-20 19:00:00,11495,"Thích, Yêu thích và Thương thương",163,"PHIÊN BẢN GIỚI HẠN MỚI TỪ BIA SAIGON SPECIAL Bia Saigon Special chính thức ra mắt bộ 3 lon mới với thiết kế riêng cho mỗi dịp đặc biệt, để lý do ăn mừng nào cũng thật SPECIAL. 🎂 Phiên bản Sinh Nhật - cho tuổi mới thêm SPECIAL
🏆 Phiên bản Chiến Thắng - cho thành tựu trong công việc luôn SPECIAL
🎁 Phiên bản Kỷ Niệm - cho cột mốc quan trọng càng phải SPECIAL Dịp nào cũng là dịp để ăn mừng, vì ĂN MỪNG LẦN THỨ MẤY, VẪN THẤY SPECIAL! Đừng quên nhấn ""Theo dõi"" fanpage của Bia Saigon để đón chờ những hoạt động SPECIAL thú vị sắp tới! #BiaSaigonSpecial #ViSpecialChoDipSpecial
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🎂🏆🎁,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial']"
2024-08-17 13:19:00,125,Thích và Yêu thích,25,"TIẾP TỤC LÊN SÓNG TOP ĐẶC SẢN ĐỢT 2 CỦA BÀN TIỆC TRĂM PHẦN TRĂM TỰ HÀO! 🎉 Chúc mừng các anh em sau đã trúng giải đóng góp bàn tiệc, và nhận được quà xịn từ Bia Saigon Lager:
- Bò một nắng muối kiến vàng - đóng góp từ Thu Nguyên Phạm
- Gà nướng cơm lam - đóng góp từ Vương Thị Oanh & Hùng Phi Hoàng
- Lẩu gà lá é- đóng góp từ Moc Lan Hoa
- Lẩu cá lăng - đóng góp từ Đỗ Trung Kiên
- Cà phê - đóng góp từ Văn Phương Thuý
📌 Danh sách các anh em đã trúng giải may mắn sẽ được cập nhật ở bên dưới phần bình luận Những anh em thắng giải vui lòng liên hệ về fanpage Bia Saigon đến hết ngày [24/08/2024] để cung cấp thông tin nhận thưởng nhé! Bàn tiệc TRĂM PHẦN TRĂM TỰ HÀO với những món ăn chiến thắng sẽ xuất hiện tại quán miền Trung cùng với Bia Saigon Lager vị tươi mát, sảng khoái vào ngày 17/08/2024 tại - Quán 22 - Đường số 22, KĐT VCN, P. Phước Long, TP Nha Trang, Khánh Hòa Lưu lại địa điểm để ghé thưởng thức ngay nhé anh em ơi~ 👏 Đừng quên tiếp tục tham gia minigame tiếp theo (like, share, comment) để đóng góp & lan tỏa những đặc sản hấp dẫn của các tỉnh miền Trung còn lại nhé! #BiaSaigon #TramPhanTramTuHao
*Nồng độ cồn 4.3%
*Dưới 18 tuổi không được uống rượu, bia
*Thưởng thức có trách nhiệm",🎉📌👏,"['#BiaSaigon', '#TramPhanTramTuHao']"
2024-08-15 15:50:00,136,"Thích, Yêu thích và Thương thương",9,"CƠ HỘI TRÚNG HÀNG TRIỆU QUÀ HẤP DẪN VẪN CÒN ĐẾN HẾT 31/10! Vẫn chưa muộn để sở hữu quà khủng từ khuyến mãi của Bia Saigon Export Premium, vì thời gian đổi thưởng đã được gia hạn đến 31/10/2024!! Cơ hội trúng vàng cùng hàng ngàn giải hiện kim! Tham gia ngay! 👉 Chi tiết xem: https://exportpremium.biasg.vn/ #BiaSaiGonExportPremium #BiaChatSongChat
*Người dưới 18 tuổi không được uống rượu, bia
*Đã uống rượu, bia - Không lái xe",👉,"['#BiaSaiGonExportPremium', '#BiaChatSongChat']"
2024-08-15 10:27:00,154,"Thích, Yêu thích và Haha",3,"DÀN CAST 2 NGÀY 1 ĐÊM GỢI Ý ĐẶC SẢN CHO ANH EM FLEX TẠI MINIGAME “TRĂM PHẦN TRĂM TỰ HÀO"" Bia Saigon Lager đã theo chân dàn cast 2 Ngày 1 Đêm đến tỉnh Đắk Lắk!! Thưởng thức vị Bia Saigon Lager tươi mát, sảng khoái cùng đặc sản bò một nắng chấm muối kiến vàng, như dàn cast đã bình luận thì đấy gọi là “hết sảy""!! Còn anh em nào có trong tay tên những đặc sản đỉnh cao khác từ Đắk Lắk cũng như các tỉnh Lâm Đồng, Kon Tum, Gia Lai, Đắk Nông thì mình nhanh nhanh flex tại minigame để săn quà đỉnh nha!!! 👉 Tham gia minigame tại đây: <https://www.facebook.com/BiaSaigon.official.page/videos/3755774054740821> #BiaSaigon #TramPhanTramTuHao #2ngay1demmua3 #DatVietVAC
*Người dưới 18 tuổi không được uống rượu, bia
*Đã uống rượu, bia - Không lái xe © Chương trình “2 Ngày 1 Đêm” thuộc bản quyền của Dong Tay Promotion thuộc DatVietVAC, được khai thác và bảo vệ bản quyền bởi #VieNETWORK",👉,"['#BiaSaigon', '#TramPhanTramTuHao', '#2ngay1demmua3', '#DatVietVAC', '#VieNETWORK']"
2024-08-14 18:45:00,2133,"Thích, Yêu thích và Haha",11,"ĂN MỪNG LẦN THỨ MẤY VẪN THẤY SPECIAL! Dù là đổi xe đẹp, nhà mới, tìm được nửa kia hay một vài khoảnh khắc đáng nhớ trong cuộc đời. Mọi cột mốc đều xứng đáng được ăn mừng một cách đặc biệt nhất cùng Bia Saigon Special ✨ #BiaSaigonSpecial #ViSpecialChoDipSpecial
———
*Đã uống rượu bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",✨,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial']"
2024-08-13 19:00:00,14737,"Thích, Yêu thích và Thương thương",6672,"Bia Saigon Special không nói: COMMENT DỊP ĐẶC BIỆT ĐỂ NHẬN QUÀ
SPECIAL nói:
Những cột mốc đặc biệt luôn cần được ăn mừng xứng đáng! Bia Saigon Special nay đã cho ra mắt bộ 3 lon phiên bản giới hạn để mỗi dịp đặc biệt ta lại tưng bừng mở tiệc ""SPECIAL"": 🎂 Sinh nhật 25 tuổi hay bao nhiêu đi chăng nữa? Khui ngay SPECIAL!
🏆 Lên chức lần đầu hay mấy lần sau? Khui ngay SPECIAL!
🎁 Kỷ niệm tình yêu lần thứ rất nhiều? Khui ngay SPECIAL! Tham gia ngay để chớp lấy cơ hội sở hữu phiên bản giới hạn đặc biệt này chỉ với 1 bước duy nhất:
👉 Chọn và comment 1 trong 3 cụm emoji (biểu tượng cảm xúc) & hashtag tương ứng với dịp đặc biệt bạn vừa ăn mừng gần đây, kèm từ mô tả lần thứ mấy bạn ăn mừng ngay dưới bài đăng
🎂 #sinhnhatSPECIAL
🏆 #chienthangSPECIAL
🎁 #kyniemSPECIAL Ví dụ: 🎂 #sinhnhatSPECIAL 25 tuổi lần thứ 5 💥 Dịp SPECIAL thì quà cũng phải SPECIAL - Tặng ngay 1 thùng 24 lon Bia Saigon Special phiên bản giới hạn mới cho 30 bạn thực hiện đúng thể lệ và may mắn nhất theo hình thức quay số ngẫu nhiên! Thời gian diễn ra từ nay đến hết 23h59ph ngày 20/08/2024
Thời gian công bố kết quả: ngày 27/08/2024 Comment dịp SPECIAL để nhận quà SPECIAL ngay 😎 Và đừng quên theo dõi Fanpage để đón chờ loạt hoạt động SPECIAL với ""anh tài"" Binz chuẩn bị được ra mắt trong thời gian sắp tới nhé! Check thể lệ tại https://bit.ly/TnC_CommentdipSpecial #BiaSaigonSpecial #ViSpecialChoDipSpecial
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🎂🏆🎁👉🎂🏆🎁🎂💥😎,"['#sinhnhatSPECIAL', '#chienthangSPECIAL', '#kyniemSPECIAL', '#sinhnhatSPECIAL', '#BiaSaigonSpecial', '#ViSpecialChoDipSpecial']"
2024-08-12 18:36:00,1124,Thích và Yêu thích,1063,"[MINIGAME “TRĂM PHẦN TRĂM TỰ HÀO""] LÂM ĐỒNG, KON TUM, GIA LAI, ĐẮK NÔNG, ĐẮK LẮK TIẾP TỤC “LÊN MÓN"" CHO BÀN TIỆC TRĂM PHẦN TRĂM TỰ HÀO! Tiếp nối chuỗi minigame đóng góp đặc sản 13 tỉnh thành miền Trung, giờ là lúc các anh em từ các tỉnh tiếp theo lên đặc sản kết hợp cùng vị tươi mát, sảng khoái từ Bia Saigon Lager!!! 👉 Cùng Bia Saigon Lager, anh em mình chia sẻ tên các đặc sản không thể bỏ qua từ [Lâm Đồng, Kon Tum, Gia Lai, Đắk Nông, Đắk Lắk] và đừng quên để lại lý do gợi ý bên dưới phần bình luận kèm theo số may mắn nhé. Vô vàn giải thưởng xịn sò đợi anh em tham gia!
✨ 6 Giải Trăm Phần Trăm Tự Hào cho 6 comment được tương tác nhiều nhất, mỗi giải gồm:
- 01 Thùng đá Bia Saigon
- 01 voucher mua Bộ Lon Đặc Biệt Trăm Phần Trăm
- 01 cơ hội thưởng thức món ăn tại bàn tiệc “Trăm Phần Trăm Tự Hào""
✨ 10 Giải May Mắn cho 10 người may mắn, mỗi giải gồm: 200k tiền mặt Đặc biệt, sau khi kết thúc chuỗi minigame, 6 người may mắn cuối cùng sẽ có cơ hội sở hữu Giải Vàng chung cuộc (mỗi giải trị giá 1 chỉ vàng) Minigame thứ 2 sẽ kết thúc vào ngày [15/08/2024], tham gia ngay để rinh quà thôi anh em ơi! #BiaSaigon #TramPhanTramTuHao
*Nồng độ cồn 4.3%
*Người dưới 18 tuổi không được uống rượu, bia
*Đã uống rượu, bia - Không lái xe",👉✨✨,"['#BiaSaigon', '#TramPhanTramTuHao']"
